Date,Description,Reference_No,Withdrawal,Deposit,Balance
2024-04-01,CAPEX-MACHINERY,CAPEX296661,171035647.87,,49828964352.13
2024-04-01,VENDOR-PAYMENT-STEEL,VENDOR176328,243072426.65,,49585891925.479996
2024-04-01,NEFT-SUBSIDIARY-TRANSFER,NEFT686277,,233542469.67,49819434395.149994
2024-04-01,NEFT-SUBSIDIARY-TRANSFER,NEFT605142,,283990790.4,50103425185.549995
2024-04-01,TAX-OUTFLOW,TAX381499,710902026.76,,49392523158.78999
2024-04-02,PAYROLL-AND-OPERATIONS,PAYROLL448391,324184083.23,,49068339075.55999
2024-04-02,CAPEX-MACHINERY,CAPEX378407,242129687.99,,48826209387.56999
2024-04-02,NEFT-SUBSIDIARY-TRANSFER,NEFT697547,,341315536.44,49167524924.009995
2024-04-03,CAPEX-MACHINERY,CAPEX201429,193231474.7,,48974293449.31
2024-04-03,NEFT-SUBSIDIARY-TRANSFER,NEFT890958,,341943169.83,49316236619.14
2024-04-03,VENDOR-PAYMENT-STEEL,VENDOR906263,651755461.91,,48664481157.229996
2024-04-04,TAX-OUTFLOW,TAX259713,112698287.87,,48551782869.35999
2024-04-04,VENDOR-PAYMENT-STEEL,VENDOR110610,796857881.42,,47754924987.939995
2024-04-04,PAYROLL-AND-OPERATIONS,PAYROLL240151,669543492.83,,47085381495.10999
2024-04-04,RTGS-DEALER-PAYMENT,RTGS144677,,313787588.01,47399169083.119995
2024-04-05,CAPEX-MACHINERY,CAPEX512475,654462354.28,,46744706728.84
2024-04-05,PAYROLL-AND-OPERATIONS,PAYROLL429952,453309142.16,,46291397586.67999
2024-04-05,VENDOR-PAYMENT-STEEL,VENDOR735391,302564528.68,,45988833057.99999
2024-04-05,VENDOR-PAYMENT-STEEL,VENDOR432998,224688097.71,,45764144960.28999
2024-04-05,CAPEX-MACHINERY,CAPEX154436,277390249.69,,45486754710.59999
2024-04-05,PAYROLL-AND-OPERATIONS,PAYROLL889853,782647972.33,,44704106738.26999
2024-04-05,NEFT-SUBSIDIARY-TRANSFER,NEFT422230,,485135007.99,45189241746.25999
2024-04-05,RTGS-DEALER-PAYMENT,RTGS674572,,323343440.73,45512585186.98999
2024-04-05,NEFT-SUBSIDIARY-TRANSFER,NEFT560271,,485397665.57,45997982852.55999
2024-04-05,RTGS-DEALER-PAYMENT,RTGS930576,,400358386.07,46398341238.62999
2024-04-06,RTGS-DEALER-PAYMENT,RTGS731689,,249537599.96,46647878838.58999
2024-04-06,TAX-OUTFLOW,TAX413173,300265724.08,,46347613114.50999
2024-04-06,PAYROLL-AND-OPERATIONS,PAYROLL471639,788377225.88,,45559235888.62999
2024-04-06,PAYROLL-AND-OPERATIONS,PAYROLL969099,691896926.27,,44867338962.35999
2024-04-06,TAX-OUTFLOW,TAX430340,53817055.2,,44813521907.159996
2024-04-07,TAX-OUTFLOW,TAX710627,391627603.26,,44421894303.899994
2024-04-07,PAYROLL-AND-OPERATIONS,PAYROLL301836,437031855.75,,43984862448.149994
2024-04-07,TAX-OUTFLOW,TAX937254,79429454.68,,43905432993.46999
2024-04-07,NEFT-SUBSIDIARY-TRANSFER,NEFT463068,,348787236.85,44254220230.31999
2024-04-07,RTGS-DEALER-PAYMENT,RTGS568486,,475236270.6,44729456500.91999
2024-04-08,TAX-OUTFLOW,TAX129548,534481766.47,,44194974734.44999
2024-04-08,TAX-OUTFLOW,TAX109384,110896105.21,,44084078629.23999
2024-04-08,RTGS-DEALER-PAYMENT,RTGS234620,,459702630.72,44543781259.95999
2024-04-08,RTGS-DEALER-PAYMENT,RTGS747352,,274292641.24,44818073901.19999
2024-04-09,VENDOR-PAYMENT-STEEL,VENDOR750486,318021220.31,,44500052680.88999
2024-04-09,VENDOR-PAYMENT-STEEL,VENDOR584734,270587826.12,,44229464854.76999
2024-04-09,NEFT-SUBSIDIARY-TRANSFER,NEFT256188,,488839810.92,44718304665.68999
2024-04-09,TAX-OUTFLOW,TAX491485,342986872.42,,44375317793.26999
2024-04-09,VENDOR-PAYMENT-STEEL,VENDOR101352,365140878.25,,44010176915.01999
2024-04-10,CAPEX-MACHINERY,CAPEX922862,338878059.55,,43671298855.469986
2024-04-11,NEFT-SUBSIDIARY-TRANSFER,NEFT824193,,462687478.53,44133986333.999985
2024-04-11,VENDOR-PAYMENT-STEEL,VENDOR881851,233995074.81,,43899991259.18999
2024-04-11,NEFT-SUBSIDIARY-TRANSFER,NEFT973101,,275804726.9,44175795986.08999
2024-04-11,RTGS-DEALER-PAYMENT,RTGS906161,,385251603.09,44561047589.179985
2024-04-11,TAX-OUTFLOW,TAX925242,134329493.19,,44426718095.98998
2024-04-12,PAYROLL-AND-OPERATIONS,PAYROLL593873,286268043.34,,44140450052.64999
2024-04-12,RTGS-DEALER-PAYMENT,RTGS991769,,119639457.63,44260089510.27998
2024-04-13,TAX-OUTFLOW,TAX963626,474283340.27,,43785806170.00999
2024-04-13,RTGS-DEALER-PAYMENT,RTGS708860,,264051522.37,44049857692.37999
2024-04-13,RTGS-DEALER-PAYMENT,RTGS318882,,298904247.63,44348761940.00999
2024-04-14,PAYROLL-AND-OPERATIONS,PAYROLL482708,121490344.08,,44227271595.929985
2024-04-14,PAYROLL-AND-OPERATIONS,PAYROLL441840,97483029.49,,44129788566.43999
2024-04-15,VENDOR-PAYMENT-STEEL,VENDOR791763,349290620.38,,43780497946.05999
2024-04-15,TAX-OUTFLOW,TAX329794,93177267.12,,43687320678.93999
2024-04-15,NEFT-SUBSIDIARY-TRANSFER,NEFT181603,,377907721.35,44065228400.289986
2024-04-16,NEFT-SUBSIDIARY-TRANSFER,NEFT854305,,315042505.46,44380270905.749985
2024-04-16,CAPEX-MACHINERY,CAPEX846438,590674373.27,,43789596532.47999
2024-04-16,PAYROLL-AND-OPERATIONS,PAYROLL903496,222654150.46,,43566942382.01999
2024-04-16,CAPEX-MACHINERY,CAPEX969192,73532855.23,,43493409526.789986
2024-04-16,VENDOR-PAYMENT-STEEL,VENDOR122689,664744716.34,,42828664810.44999
2024-04-16,CAPEX-MACHINERY,CAPEX320722,90484788.63,,42738180021.81999
2024-04-17,VENDOR-PAYMENT-STEEL,VENDOR155184,761300036.33,,41976879985.48999
2024-04-17,TAX-OUTFLOW,TAX574892,316755688.29,,41660124297.19999
2024-04-17,NEFT-SUBSIDIARY-TRANSFER,NEFT584873,,490849541.51,42150973838.70999
2024-04-18,RTGS-DEALER-PAYMENT,RTGS677579,,290080510.88,42441054349.58999
2024-04-18,RTGS-DEALER-PAYMENT,RTGS756991,,401021172.61,42842075522.19999
2024-04-18,CAPEX-MACHINERY,CAPEX459834,234883122.81,,42607192399.38999
2024-04-18,RTGS-DEALER-PAYMENT,RTGS139218,,105040488.95,42712232888.33999
2024-04-18,RTGS-DEALER-PAYMENT,RTGS674678,,223323656.64,42935556544.97999
2024-04-19,CAPEX-MACHINERY,CAPEX997479,733630097.09,,42201926447.88999
2024-04-19,VENDOR-PAYMENT-STEEL,VENDOR108216,577878594.38,,41624047853.509995
2024-04-19,TAX-OUTFLOW,TAX168240,360228691.15,,41263819162.35999
2024-04-20,CAPEX-MACHINERY,CAPEX182529,56164325.44,,41207654836.91999
2024-04-20,RTGS-DEALER-PAYMENT,RTGS249665,,207827240.06,41415482076.97999
2024-04-20,TAX-OUTFLOW,TAX198483,620383877.7,,40795098199.27999
2024-04-20,CAPEX-MACHINERY,CAPEX539653,93730217.75,,40701367981.52999
2024-04-20,CAPEX-MACHINERY,CAPEX781936,423905024.91,,40277462956.61999
2024-04-20,NEFT-SUBSIDIARY-TRANSFER,NEFT631803,,352965292.73,40630428249.34999
2024-04-21,PAYROLL-AND-OPERATIONS,PAYROLL884017,633512357.98,,39996915891.36999
2024-04-21,VENDOR-PAYMENT-STEEL,VENDOR577048,250390693.7,,39746525197.66999
2024-04-21,NEFT-SUBSIDIARY-TRANSFER,NEFT510473,,217573812.79,39964099010.45999
2024-04-21,TAX-OUTFLOW,TAX631424,697458933.55,,39266640076.90999
2024-04-22,NEFT-SUBSIDIARY-TRANSFER,NEFT349649,,267166339.34,39533806416.249985
2024-04-22,TAX-OUTFLOW,TAX277781,550943671.63,,38982862744.61999
2024-04-22,TAX-OUTFLOW,TAX982802,166205505.75,,38816657238.86999
2024-04-22,PAYROLL-AND-OPERATIONS,PAYROLL267164,744958330.64,,38071698908.22999
2024-04-22,VENDOR-PAYMENT-STEEL,VENDOR915380,118197007.76,,37953501900.469986
2024-04-23,RTGS-DEALER-PAYMENT,RTGS253321,,170435325.0,38123937225.469986
2024-04-23,RTGS-DEALER-PAYMENT,RTGS448933,,423178143.17,38547115368.639984
2024-04-24,VENDOR-PAYMENT-STEEL,VENDOR979750,521919911.0,,38025195457.639984
2024-04-24,PAYROLL-AND-OPERATIONS,PAYROLL107709,297608249.32,,37727587208.319984
2024-04-24,NEFT-SUBSIDIARY-TRANSFER,NEFT492385,,280553547.55,38008140755.86999
2024-04-24,TAX-OUTFLOW,TAX133660,501900394.82,,37506240361.04999
2024-04-24,PAYROLL-AND-OPERATIONS,PAYROLL783420,577426098.46,,36928814262.58999
2024-04-25,RTGS-DEALER-PAYMENT,RTGS574221,,177682237.39,37106496499.97999
2024-04-25,CAPEX-MACHINERY,CAPEX684128,173902028.05,,36932594471.929985
2024-04-25,TAX-OUTFLOW,TAX194021,409277595.17,,36523316876.75999
2024-04-25,NEFT-SUBSIDIARY-TRANSFER,NEFT181724,,382213671.65,36905530548.40999
2024-04-25,TAX-OUTFLOW,TAX926641,525476383.8,,36380054164.609985
2024-04-25,NEFT-SUBSIDIARY-TRANSFER,NEFT388909,,366818781.22,36746872945.82999
2024-04-26,CAPEX-MACHINERY,CAPEX545671,141652219.01,,36605220726.819984
2024-04-26,VENDOR-PAYMENT-STEEL,VENDOR311744,67471466.97,,36537749259.84998
2024-04-26,TAX-OUTFLOW,TAX716515,52010608.98,,36485738650.86998
2024-04-27,RTGS-DEALER-PAYMENT,RTGS498471,,372752194.06,36858490844.92998
2024-04-27,CAPEX-MACHINERY,CAPEX810334,401229289.37,,36457261555.559975
2024-04-28,TAX-OUTFLOW,TAX503094,354869338.72,,36102392216.83997
2024-04-28,RTGS-DEALER-PAYMENT,RTGS717785,,355830531.74,36458222748.57997
2024-04-28,VENDOR-PAYMENT-STEEL,VENDOR616670,318843207.57,,36139379541.00997
2024-04-28,CAPEX-MACHINERY,CAPEX575957,338907268.38,,35800472272.629974
2024-04-29,RTGS-DEALER-PAYMENT,RTGS399874,,291762402.94,36092234675.56998
2024-04-29,PAYROLL-AND-OPERATIONS,PAYROLL498947,497941548.55,,35594293127.01997
2024-04-30,VENDOR-PAYMENT-STEEL,VENDOR280261,663774424.03,,34930518702.989975
2024-04-30,CAPEX-MACHINERY,CAPEX668350,698212724.15,,34232305978.839973
2024-04-30,PAYROLL-AND-OPERATIONS,PAYROLL767209,411931857.2,,33820374121.639973
2024-04-30,PAYROLL-AND-OPERATIONS,PAYROLL444555,494512823.36,,33325861298.279972
2024-05-01,VENDOR-PAYMENT-STEEL,VENDOR420204,637416785.27,,32688444513.00997
2024-05-01,PAYROLL-AND-OPERATIONS,PAYROLL621518,173828522.12,,32514615990.889973
2024-05-01,CAPEX-MACHINERY,CAPEX843708,781618168.33,,31732997822.55997
2024-05-01,PAYROLL-AND-OPERATIONS,PAYROLL692453,53178836.92,,31679818985.639973
2024-05-01,RTGS-DEALER-PAYMENT,RTGS274673,,445456086.1,32125275071.73997
2024-05-02,PAYROLL-AND-OPERATIONS,PAYROLL679575,698382478.26,,31426892593.479973
2024-05-02,TAX-OUTFLOW,TAX582214,170208165.73,,31256684427.749973
2024-05-03,VENDOR-PAYMENT-STEEL,VENDOR909688,449419790.73,,30807264637.019974
2024-05-03,NEFT-SUBSIDIARY-TRANSFER,NEFT134417,,465020154.53,31272284791.549973
2024-05-03,RTGS-DEALER-PAYMENT,RTGS810201,,363240854.43,31635525645.979973
2024-05-03,TAX-OUTFLOW,TAX570248,108318271.91,,31527207374.069973
2024-05-03,TAX-OUTFLOW,TAX715932,602659834.06,,30924547540.00997
2024-05-03,CAPEX-MACHINERY,CAPEX499014,722554241.88,,30201993298.12997
2024-05-03,NEFT-SUBSIDIARY-TRANSFER,NEFT113813,,204637116.55,30406630414.67997
2024-05-03,CAPEX-MACHINERY,CAPEX825416,670615338.45,,29736015076.22997
2024-05-03,PAYROLL-AND-OPERATIONS,PAYROLL313027,257120399.92,,29478894676.30997
2024-05-04,CAPEX-MACHINERY,CAPEX573061,363428734.1,,29115465942.209972
2024-05-04,PAYROLL-AND-OPERATIONS,PAYROLL356375,361102831.42,,28754363110.789974
2024-05-05,RTGS-DEALER-PAYMENT,RTGS319591,,341896686.64,29096259797.429974
2024-05-05,CAPEX-MACHINERY,CAPEX385906,107600229.11,,28988659568.319973
2024-05-05,VENDOR-PAYMENT-STEEL,VENDOR259646,545057215.32,,28443602352.999973
2024-05-05,RTGS-DEALER-PAYMENT,RTGS508869,,287002408.68,28730604761.679974
2024-05-06,NEFT-SUBSIDIARY-TRANSFER,NEFT815153,,177867609.22,28908472370.899975
2024-05-06,NEFT-SUBSIDIARY-TRANSFER,NEFT445305,,185643636.49,29094116007.389977
2024-05-06,PAYROLL-AND-OPERATIONS,PAYROLL136035,422210090.69,,28671905916.699978
2024-05-06,PAYROLL-AND-OPERATIONS,PAYROLL505758,497081741.42,,28174824175.27998
2024-05-06,NEFT-SUBSIDIARY-TRANSFER,NEFT632566,,254907363.18,28429731538.45998
2024-05-07,TAX-OUTFLOW,TAX408383,734171250.15,,27695560288.30998
2024-05-07,PAYROLL-AND-OPERATIONS,PAYROLL906918,85483731.22,,27610076557.089977
2024-05-07,VENDOR-PAYMENT-STEEL,VENDOR238278,482522547.71,,27127554009.37998
2024-05-07,CAPEX-MACHINERY,CAPEX616104,563108106.5,,26564445902.87998
2024-05-07,CAPEX-MACHINERY,CAPEX428222,86430546.62,,26478015356.25998
2024-05-08,TAX-OUTFLOW,TAX512301,263384898.44,,26214630457.81998
2024-05-08,CAPEX-MACHINERY,CAPEX366006,527936426.45,,25686694031.36998
2024-05-08,NEFT-SUBSIDIARY-TRANSFER,NEFT653897,,172854110.5,25859548141.86998
2024-05-08,NEFT-SUBSIDIARY-TRANSFER,NEFT646001,,430918167.91,26290466309.77998
2024-05-09,CAPEX-MACHINERY,CAPEX988340,728437411.32,,25562028898.45998
2024-05-09,NEFT-SUBSIDIARY-TRANSFER,NEFT912467,,441144277.0,26003173175.45998
2024-05-10,NEFT-SUBSIDIARY-TRANSFER,NEFT161260,,352805737.75,26355978913.20998
2024-05-10,CAPEX-MACHINERY,CAPEX307990,735110291.01,,25620868622.19998
2024-05-10,RTGS-DEALER-PAYMENT,RTGS413233,,306890436.1,25927759058.29998
2024-05-11,CAPEX-MACHINERY,CAPEX832680,623456927.68,,25304302130.61998
2024-05-11,VENDOR-PAYMENT-STEEL,VENDOR174662,193632741.41,,25110669389.20998
2024-05-12,RTGS-DEALER-PAYMENT,RTGS425156,,421749319.33,25532418708.53998
2024-05-12,PAYROLL-AND-OPERATIONS,PAYROLL614573,441676029.69,,25090742678.849983
2024-05-12,TAX-OUTFLOW,TAX619632,449635339.12,,24641107339.729984
2024-05-12,PAYROLL-AND-OPERATIONS,PAYROLL814263,171646942.97,,24469460396.759983
2024-05-13,RTGS-DEALER-PAYMENT,RTGS848140,,131283003.76,24600743400.51998
2024-05-13,RTGS-DEALER-PAYMENT,RTGS485018,,366588587.58,24967331988.099983
2024-05-13,CAPEX-MACHINERY,CAPEX418043,627000746.61,,24340331241.489983
2024-05-13,TAX-OUTFLOW,TAX559499,359602668.21,,23980728573.279984
2024-05-13,RTGS-DEALER-PAYMENT,RTGS211665,,442688966.82,24423417540.099983
2024-05-13,VENDOR-PAYMENT-STEEL,VENDOR683686,340264494.05,,24083153046.049984
2024-05-13,NEFT-SUBSIDIARY-TRANSFER,NEFT488873,,402593489.41,24485746535.459984
2024-05-14,CAPEX-MACHINERY,CAPEX952524,318730591.21,,24167015944.249985
2024-05-14,TAX-OUTFLOW,TAX639025,167968688.85,,23999047255.399986
2024-05-14,VENDOR-PAYMENT-STEEL,VENDOR405165,285519219.15,,23713528036.249985
2024-05-15,VENDOR-PAYMENT-STEEL,VENDOR246569,361285874.14,,23352242162.109985
2024-05-15,PAYROLL-AND-OPERATIONS,PAYROLL862745,509073138.82,,22843169023.289986
2024-05-15,CAPEX-MACHINERY,CAPEX199927,393727664.62,,22449441358.669987
2024-05-16,TAX-OUTFLOW,TAX188741,657815184.59,,21791626174.079987
2024-05-16,CAPEX-MACHINERY,CAPEX198248,502079790.9,,21289546383.179985
2024-05-16,NEFT-SUBSIDIARY-TRANSFER,NEFT414797,,448987618.58,21738534001.759987
2024-05-16,VENDOR-PAYMENT-STEEL,VENDOR760811,150359847.58,,21588174154.179985
2024-05-16,CAPEX-MACHINERY,CAPEX860219,254319266.45,,21333854887.729984
2024-05-17,RTGS-DEALER-PAYMENT,RTGS448011,,333713635.09,21667568522.819984
2024-05-17,PAYROLL-AND-OPERATIONS,PAYROLL198489,490518533.92,,21177049988.899986
2024-05-17,PAYROLL-AND-OPERATIONS,PAYROLL546000,513238801.1,,20663811187.799988
2024-05-17,RTGS-DEALER-PAYMENT,RTGS497572,,181074609.87,20844885797.669987
2024-05-18,CAPEX-MACHINERY,CAPEX577536,557668427.37,,20287217370.299988
2024-05-18,VENDOR-PAYMENT-STEEL,VENDOR525849,766643975.65,,19520573394.649986
2024-05-19,RTGS-DEALER-PAYMENT,RTGS587822,,460668969.79,19981242364.439987
2024-05-19,TAX-OUTFLOW,TAX602581,406105395.58,,19575136968.859985
2024-05-19,PAYROLL-AND-OPERATIONS,PAYROLL359598,669203502.48,,18905933466.379986
2024-05-19,RTGS-DEALER-PAYMENT,RTGS479499,,257165860.95,19163099327.329987
2024-05-19,CAPEX-MACHINERY,CAPEX152713,118268137.63,,19044831189.699986
2024-05-20,VENDOR-PAYMENT-STEEL,VENDOR356240,588140164.48,,18456691025.219986
2024-05-20,NEFT-SUBSIDIARY-TRANSFER,NEFT535295,,230962208.85,18687653234.069984
2024-05-20,VENDOR-PAYMENT-STEEL,VENDOR400547,405928740.56,,18281724493.509983
2024-05-20,TAX-OUTFLOW,TAX679956,282516565.61,,17999207927.899982
2024-05-20,TAX-OUTFLOW,TAX235314,708479286.81,,17290728641.08998
2024-05-21,CAPEX-MACHINERY,CAPEX786594,689453687.41,,16601274953.679981
2024-05-21,NEFT-SUBSIDIARY-TRANSFER,NEFT490599,,373085207.68,16974360161.359982
2024-05-21,NEFT-SUBSIDIARY-TRANSFER,NEFT907991,,446921252.28,17421281413.63998
2024-05-21,PAYROLL-AND-OPERATIONS,PAYROLL336040,392689469.29,,17028591944.34998
2024-05-22,TAX-OUTFLOW,TAX350807,111075595.84,,16917516348.50998
2024-05-22,CAPEX-MACHINERY,CAPEX727927,91591678.85,,16825924669.659979
2024-05-23,CAPEX-MACHINERY,CAPEX607229,341729990.39,,16484194679.26998
2024-05-23,TAX-OUTFLOW,TAX237577,617360450.2,,15866834229.069979
2024-05-23,TAX-OUTFLOW,TAX527287,779680498.42,,15087153730.649979
2024-05-23,PAYROLL-AND-OPERATIONS,PAYROLL791335,323156005.68,,14763997724.969978
2024-05-23,VENDOR-PAYMENT-STEEL,VENDOR742895,624380653.87,,14139617071.099977
2024-05-24,CAPEX-MACHINERY,CAPEX843016,218436876.5,,13921180194.599977
2024-05-24,CAPEX-MACHINERY,CAPEX219954,684495347.08,,13236684847.519978
2024-05-24,VENDOR-PAYMENT-STEEL,VENDOR836510,661936426.93,,12574748420.589977
2024-05-24,RTGS-DEALER-PAYMENT,RTGS541260,,439739980.74,13014488401.329977
2024-05-25,VENDOR-PAYMENT-STEEL,VENDOR748036,301206855.22,,12713281546.109978
2024-05-26,CAPEX-MACHINERY,CAPEX322193,226840689.81,,12486440856.299978
2024-05-26,RTGS-DEALER-PAYMENT,RTGS161779,,400402869.3,12886843725.599977
2024-05-26,RTGS-DEALER-PAYMENT,RTGS436908,,138421931.11,13025265656.709978
2024-05-27,TAX-OUTFLOW,TAX408124,526161980.67,,12499103676.039978
2024-05-27,NEFT-SUBSIDIARY-TRANSFER,NEFT880285,,138024113.67,12637127789.709978
2024-05-27,RTGS-DEALER-PAYMENT,RTGS372589,,341509006.14,12978636795.849977
2024-05-28,PAYROLL-AND-OPERATIONS,PAYROLL825829,155179786.66,,12823457009.189978
2024-05-29,TAX-OUTFLOW,TAX689799,355372907.9,,12468084101.289978
2024-05-29,PAYROLL-AND-OPERATIONS,PAYROLL585604,512422112.31,,11955661988.979979
2024-05-29,RTGS-DEALER-PAYMENT,RTGS512757,,132858939.59,12088520928.569979
2024-05-29,NEFT-SUBSIDIARY-TRANSFER,NEFT886188,,387504499.92,12476025428.489979
2024-05-30,TAX-OUTFLOW,TAX378035,525738331.18,,11950287097.309978
2024-05-30,VENDOR-PAYMENT-STEEL,VENDOR999159,488151695.42,,11462135401.889978
2024-05-31,CAPEX-MACHINERY,CAPEX462175,262514995.63,,11199620406.25998
2024-05-31,VENDOR-PAYMENT-STEEL,VENDOR983565,492177461.89,,10707442944.36998
2024-05-31,VENDOR-PAYMENT-STEEL,VENDOR323800,169529623.74,,10537913320.62998
2024-05-31,PAYROLL-AND-OPERATIONS,PAYROLL731618,793904533.41,,9744008787.21998
2024-05-31,CAPEX-MACHINERY,CAPEX344131,793272262.16,,8950736525.05998
2024-05-31,PAYROLL-AND-OPERATIONS,PAYROLL356288,502335878.96,,8448400646.09998
2024-06-01,RTGS-DEALER-PAYMENT,RTGS910794,,452929157.97,8901329804.06998
2024-06-02,NEFT-SUBSIDIARY-TRANSFER,NEFT161738,,163336091.25,9064665895.31998
2024-06-02,TAX-OUTFLOW,TAX813758,117250675.01,,8947415220.30998
2024-06-02,RTGS-DEALER-PAYMENT,RTGS967042,,293395198.26,9240810418.56998
2024-06-02,PAYROLL-AND-OPERATIONS,PAYROLL666497,553841941.64,,8686968476.929981
