Month,Declared_Sales_INR,Tax_Paid,Filing_Status
Apr-2024,17543824388.83,3157888389.99,Filed
May-2024,18748317389.37,3374697130.09,Filed
Jun-2024,17851530183.93,3213275433.11,Filed
Jul-2024,19337702560.8,3480786460.94,Filed
Aug-2024,18679999651.67,3362399937.3,Filed
Sep-2024,20043584801.7,3607845264.31,Filed
Oct-2024,17548219224.2,3158679460.36,Filed
Nov-2024,18376358676.0,3307744561.68,Filed
Dec-2024,18551586576.07,3339285583.69,Filed
Jan-2025,20401246693.15,3672224404.77,Filed
Feb-2025,18795215818.36,3383138847.3,Filed
Mar-2025,19157810510.38,3448405891.87,Filed
